"Country","Response_measure","date_start","date_end"
"Austria","NonEssentialShopsPartial",2021-02-08,2021-11-21
"Austria","NonEssentialShopsPartial",2021-12-12,NA
"Austria","OutdoorOver100",2020-09-14,2020-11-02
"Austria","OutdoorOver1000",2020-08-01,2020-09-13
"Austria","OutdoorOver500",2020-03-11,2020-07-31
"Austria","PlaceOfWorship",2020-03-16,2020-05-14
"Austria","PlaceOfWorship",2020-11-16,2020-12-06
"Austria","PlaceOfWorship",2020-12-28,2021-02-06
"Austria","PlaceOfWorshipPartial",2020-05-15,2020-11-15
"Austria","PlaceOfWorshipPartial",2020-12-07,2020-12-27
"Austria","PlaceOfWorshipPartial",2021-02-07,NA
"Austria","PrivateGatheringRestrictions",2020-03-16,2020-04-30
"Austria","PrivateGatheringRestrictions",2020-10-23,2020-11-16
"Austria","PrivateGatheringRestrictionsPartial",2021-05-19,NA
"Austria","QuarantineForInternationalTravellers",2020-03-10,NA
"Austria","RegionalStayHomeOrder",2021-04-01,2021-05-02
"Austria","RestaurantsCafes",2020-03-16,2020-05-14
"Austria","RestaurantsCafes",2020-11-03,2021-05-14
"Austria","RestaurantsCafes",2021-11-22,NA
"Austria","RestaurantsCafesPartial",2021-05-15,2021-11-21
"Austria","SocialCircle",2020-11-17,2021-05-18
"Austria","StayHomeGen",2020-03-10,2020-03-15
"Austria","StayHomeOrder",2020-03-16,2020-04-30
"Austria","StayHomeOrder",2020-11-17,2020-12-06
"Austria","StayHomeOrder",2020-12-26,2021-02-07
"Austria","StayHomeOrder",2021-11-22,2021-12-11
"Austria","StayHomeOrderPartial",2020-11-03,2020-11-16
"Austria","StayHomeOrderPartial",2020-12-07,2020-12-25
"Austria","StayHomeOrderPartial",2021-02-08,2021-05-15
"Austria","StayHomeOrderPartial",2021-11-15,2021-11-21
"Austria","StayHomeOrderPartial",2021-12-12,NA
"Austria","Teleworking",2020-03-10,NA
"Belgium","BanOnAllEvents",2020-11-02,2021-03-07
"Belgium","BanOnAllEventsPartial",2021-05-01,2021-06-08
"Belgium","ClosDaycare",2020-05-01,2020-06-02
"Belgium","ClosDaycare",2020-11-12,2020-11-15
"Belgium","ClosHigh",2020-03-13,2020-09-20
"Belgium","ClosHighPartial",2020-09-21,2021-08-29
"Belgium","ClosPrim",2020-03-13,2020-05-17
"Belgium","ClosPrim",2020-11-12,2020-11-16
"Belgium","ClosPrim",2021-03-29,2021-04-18
"Belgium","ClosPrimPartial",2020-05-18,2020-06-08
"Belgium","ClosPubAny",2020-03-13,2020-05-03
"Belgium","ClosPubAnyPartial",2020-05-04,NA
"Belgium","ClosSec",2020-03-13,2020-05-17
"Belgium","ClosSec",2020-11-12,2020-11-15
"Belgium","ClosSec",2021-03-29,2021-04-18
"Belgium","ClosSecPartial",2020-05-18,2020-08-28
"Belgium","ClosSecPartial",2021-12-03,NA
"Belgium","EntertainmentVenues",2020-03-13,2020-05-17
"Belgium","EntertainmentVenues",2020-11-02,2021-04-12
"Belgium","EntertainmentVenuesPartial",2020-05-18,2020-11-01
"Belgium","EntertainmentVenuesPartial",2021-04-13,2021-10-01
"Belgium","EntertainmentVenuesPartial",2021-11-27,NA
"Belgium","GymsSportsCentres",2020-03-13,2020-05-03
"Belgium","GymsSportsCentresPartial",2020-05-04,2020-07-01
"Belgium","GymsSportsCentresPartial",2020-11-02,NA
"Belgium","IndoorOver1000",2020-03-10,2020-03-17
"Belgium","IndoorOver50",2021-11-29,2021-12-05
"Belgium","IndoorOver500",2020-07-01,2020-11-01
"Belgium","IndoorOver500",2021-10-28,2021-11-28
"Belgium","IndoorOver500",2021-12-06,NA
"Belgium","MasksMandatoryAllSpacesPartial",2020-05-04,NA
"Belgium","MassGather50",2020-11-02,2021-03-07
"Belgium","MassGather50Partial",2021-05-01,2021-06-08
"Belgium","MassGather50Partial",2021-11-29,2021-12-05
"Belgium","MassGatherAll",2020-03-10,2020-03-17
"Belgium","MassGatherAll",2020-07-01,2020-10-18
"Belgium","MassGatherAll",2020-11-02,2021-03-07
"Belgium","MassGatherAll",2021-10-28,2021-11-28
"Belgium","MassGatherAllPartial",2020-10-19,2020-11-01
"Belgium","MassGatherAllPartial",2021-05-01,2021-06-08
"Belgium","MassGatherAllPartial",2021-11-29,NA
"Belgium","NonEssentialShops",2020-03-13,2020-05-03
"Belgium","NonEssentialShops",2020-11-02,2020-11-30
"Belgium","NonEssentialShopsPartial",2020-05-04,2020-06-02
"Belgium","NonEssentialShopsPartial",2020-10-19,2020-11-01
"Belgium","NonEssentialShopsPartial",2020-12-01,NA
"Belgium","OutdoorOver100",2021-11-29,NA
"Belgium","OutdoorOver500",2020-07-01,2020-11-01
"Belgium","OutdoorOver500",2021-10-28,2021-11-28
"Belgium","PlaceOfWorship",2020-03-13,2020-06-07
"Belgium","PlaceOfWorshipPartial",2020-06-08,2020-10-05
"Belgium","PlaceOfWorshipPartial",2021-02-21,NA
"Belgium","PrivateGatheringRestrictions",2020-03-18,2020-06-30
"Belgium","PrivateGatheringRestrictions",2020-10-06,2021-03-07
"Belgium","PrivateGatheringRestrictions",2021-03-20,2021-04-25
"Belgium","PrivateGatheringRestrictions",2021-06-27,2021-09-01
"Belgium","PrivateGatheringRestrictionsPartial",2021-03-08,2021-03-19
"Belgium","PrivateGatheringRestrictionsPartial",2021-04-26,2021-06-26
"Belgium","PrivateGatheringRestrictionsPartial",2021-11-20,NA
"Belgium","QuarantineForInternationalTravellers",2020-07-01,NA
"Belgium","RegionalStayHomeOrderPartial",2020-07-28,2020-08-26
"Belgium","RestaurantsCafes",2020-03-13,2020-06-07
"Belgium","RestaurantsCafes",2020-10-19,2021-04-25
"Belgium","RestaurantsCafesPartial",2020-06-08,2020-10-18
"Belgium","RestaurantsCafesPartial",2021-04-26,2021-09-01
"Belgium","RestaurantsCafesPartial",2021-10-28,NA
"Belgium","SocialCircle",2020-03-18,2021-06-08
"Belgium","StayHomeGenPartial",2020-05-10,2020-08-31
"Belgium","StayHomeOrder",2020-03-18,2020-05-09
"Belgium","StayHomeOrderPartial",2020-10-16,2021-05-07
"Belgium","Teleworking",2020-03-10,2020-06-07
"Belgium","Teleworking",2020-10-19,NA
"Belgium","TeleworkingPartial",2020-06-08,2020-10-18
"Bulgaria","AdaptationOfWorkplace",2020-10-01,2021-04-30
"Bulgaria","BanOnAllEvents",2020-03-08,2020-05-14
"Bulgaria","BanOnAllEventsPartial",2020-05-15,2020-06-30
"Bulgaria","ClosDaycare",2020-03-13,2020-05-21
"Bulgaria","ClosDaycare",2020-11-27,2021-01-03
"Bulgaria","ClosDaycare",2021-03-22,2021-03-31
"Bulgaria","ClosDaycarePartial",2020-05-22,2020-06-14
"Bulgaria","ClosHigh",2020-03-13,2020-05-31
"Bulgaria","ClosHighPartial",2020-06-01,2021-05-31
"Bulgaria","ClosHighPartial",2021-10-21,NA
"Bulgaria","ClosPrim",2020-03-13,2020-09-14
"Bulgaria","ClosPrim",2020-11-27,2021-01-03
"Bulgaria","ClosPrim",2021-03-22,2021-03-31
"Bulgaria","ClosPrimPartial",2021-10-21,2021-12-05
"Bulgaria","ClosPubAny",2020-03-13,2020-05-17
"Bulgaria","ClosPubAnyPartial",2020-05-18,2020-06-14
"Bulgaria","ClosPubAnyPartial",2020-10-29,NA
"Bulgaria","ClosSec",2020-03-13,2020-09-14
"Bulgaria","ClosSecPartial",2020-10-29,2021-05-31
"Bulgaria","ClosSecPartial",2021-10-21,2021-12-05
"Bulgaria","EntertainmentVenues",2020-03-13,2020-05-17
"Bulgaria","EntertainmentVenuesPartial",2020-11-14,NA
"Bulgaria","GymsSportsCentres",2020-03-13,2020-05-17
"Bulgaria","GymsSportsCentres",2021-03-22,2021-03-31
"Bulgaria","GymsSportsCentresPartial",2020-05-18,2020-06-14
"Bulgaria","GymsSportsCentresPartial",2020-11-27,2021-03-21
"Bulgaria","GymsSportsCentresPartial",2021-04-01,NA
"Bulgaria","MasksMandatoryAllSpaces",2020-03-30,2020-03-31
"Bulgaria","MasksMandatoryAllSpaces",2020-04-12,2020-04-30
"Bulgaria","MasksMandatoryClosedSpaces",2020-05-01,NA
"Bulgaria","MassGather50",2020-03-08,2020-05-14
"Bulgaria","MassGather50Partial",2020-05-15,2020-06-30
"Bulgaria","MassGatherAll",2020-03-08,2020-03-12
"Bulgaria","MassGatherAllPartial",2020-03-13,2020-06-30
"Bulgaria","NonEssentialShops",2020-03-13,2020-05-17
"Bulgaria","NonEssentialShops",2020-11-27,2021-01-31
"Bulgaria","NonEssentialShops",2021-03-22,2021-03-31
"Bulgaria","NonEssentialShopsPartial",2021-10-21,NA
"Bulgaria","PrivateGatheringRestrictions",2020-03-08,2020-06-30
"Bulgaria","PrivateGatheringRestrictions",2020-11-27,2021-05-31
"Bulgaria","PrivateGatheringRestrictions",2021-09-07,NA
"Bulgaria","QuarantineForInternationalTravellers",2020-03-17,2020-07-27
"Bulgaria","QuarantineForInternationalTravellers",2020-08-01,2020-11-30
"Bulgaria","QuarantineForInternationalTravellersPartial",2020-07-28,2020-07-31
"Bulgaria","QuarantineForInternationalTravellersPartial",2020-12-01,NA
"Bulgaria","RestaurantsCafes",2020-03-13,2020-05-31
"Bulgaria","RestaurantsCafes",2020-11-27,2021-02-28
"Bulgaria","RestaurantsCafesPartial",2020-10-29,2020-11-26
"Bulgaria","RestaurantsCafesPartial",2021-03-01,NA
"Bulgaria","StayHomeGen",2020-02-24,2020-03-11
"Bulgaria","Teleworking",2020-03-13,2020-03-29
"Bulgaria","TeleworkingPartial",2020-11-14,2021-04-30
"Bulgaria","TeleworkingPartial",2021-08-20,NA
"Croatia","AdaptationOfWorkplacePartial",2020-11-28,NA
"Croatia","BanOnAllEvents",2020-03-19,2020-05-04
"Croatia","ClosDaycare",2020-03-16,2020-05-10
"Croatia","ClosHigh",2020-03-16,2020-06-17
"Croatia","ClosPrim",2020-03-16,2020-05-10
"Croatia","ClosPrimPartial",2020-05-11,2020-06-17
"Croatia","ClosPubAnyPartial",2020-03-19,NA
"Croatia","ClosSec",2020-03-16,2020-06-17
"Croatia","ClosureOfPublicTransport",2020-03-22,2020-04-27
"Croatia","ClosureOfPublicTransportPartial",2020-11-28,NA
"Croatia","EntertainmentVenues",2020-03-19,2020-05-28
"Croatia","EntertainmentVenuesPartial",2020-11-28,NA
"Croatia","GymsSportsCentres",2020-03-19,2020-05-11
"Croatia","GymsSportsCentres",2020-11-28,2021-02-14
"Croatia","GymsSportsCentresPartial",2021-02-15,NA
"Croatia","IndoorOver100",2021-05-28,2021-11-05
"Croatia","IndoorOver50",2020-05-05,2021-05-27
"Croatia","IndoorOver50",2021-11-06,NA
"Croatia","MasksMandatoryAllSpaces",2020-10-25,2021-07-02
"Croatia","MasksMandatoryAllSpacesPartial",2021-07-03,NA
"Croatia","MasksMandatoryClosedSpaces",2020-04-24,2020-10-24
"Croatia","MassGather50",2020-03-19,2021-05-27
"Croatia","MassGather50Partial",2021-11-06,NA
"Croatia","MassGatherAll",2020-03-19,2021-05-27
"Croatia","MassGatherAllPartial",2021-05-28,NA
"Croatia","NonEssentialShopsPartial",2020-03-19,2020-05-11
"Croatia","OutdoorOver100",2021-05-28,2021-12-14
"Croatia","OutdoorOver50",2020-05-05,2020-10-26
"Croatia","OutdoorOver50",2020-11-28,2021-05-27
"Croatia","OutdoorOver500",2021-12-15,NA
"Croatia","PrivateGatheringRestrictions",2020-03-20,NA
"Croatia","QuarantineForInternationalTravellersPartial",2020-05-11,NA
"Croatia","RestaurantsCafes",2020-03-19,2020-05-11
"Croatia","RestaurantsCafes",2020-11-28,2021-02-28
"Croatia","RestaurantsCafesPartial",2020-05-12,2020-11-27
"Croatia","RestaurantsCafesPartial",2021-03-01,NA
"Croatia","StayHomeOrder",2020-03-23,2020-05-10
"Croatia","StayHomeRiskG",2020-03-03,NA
"Croatia","Teleworking",2020-03-19,2020-05-27
"Croatia","TeleworkingPartial",2020-11-28,NA
"Cyprus","BanOnAllEvents",2020-03-10,2020-06-24
"Cyprus","BanOnAllEventsPartial",2020-11-05,2021-05-16
"Cyprus","ClosDaycare",2020-03-10,2020-06-09
"Cyprus","ClosHigh",2020-03-10,2020-05-11
"Cyprus","ClosHigh",2020-12-14,2021-05-09
"Cyprus","ClosHighPartial",2021-09-03,NA
"Cyprus","ClosPrim",2020-03-10,2020-05-21
"Cyprus","ClosPrim",2021-01-10,2021-02-07
"Cyprus","ClosPubAny",2020-03-13,2020-05-03
"Cyprus","ClosPubAnyPartial",2020-05-04,2020-06-29
"Cyprus","ClosPubAnyPartial",2020-11-05,NA
"Cyprus","ClosSec",2020-03-10,2020-05-10
"Cyprus","ClosSec",2020-12-14,2021-02-07
"Cyprus","ClosSecPartial",2020-05-11,2020-05-21
"Cyprus","ClosSecPartial",2021-02-08,2021-03-31
"Cyprus","ClosureOfPublicTransportPartial",2021-10-30,NA
"Cyprus","EntertainmentVenues",2020-03-16,2020-05-20
"Cyprus","EntertainmentVenues",2020-12-11,2021-02-07
"Cyprus","EntertainmentVenues",2021-04-26,2021-05-09
"Cyprus","EntertainmentVenuesPartial",2020-05-21,2020-06-29
"Cyprus","EntertainmentVenuesPartial",2021-02-08,2021-04-25
"Cyprus","EntertainmentVenuesPartial",2021-05-10,NA
"Cyprus","GymsSportsCentres",2020-03-13,2020-05-03
"Cyprus","GymsSportsCentres",2021-01-08,2021-03-31
"Cyprus","GymsSportsCentres",2021-04-26,2021-05-09
"Cyprus","GymsSportsCentresPartial",2020-05-04,2020-06-13
"Cyprus","GymsSportsCentresPartial",2021-05-10,NA
"Cyprus","HotelsOtherAccommodation",2020-03-16,2020-05-03
"Cyprus","HotelsOtherAccommodationPartial",2020-05-04,2020-06-09
"Cyprus","HotelsOtherAccommodationPartial",2021-05-17,2021-07-19
"Cyprus","IndoorOver100",2020-07-12,2020-11-04
"Cyprus","IndoorOver50",2020-06-25,2020-07-11
"Cyprus","MasksMandatoryAllSpaces",2020-11-05,NA
"Cyprus","MasksMandatoryClosedSpaces",2020-05-04,2020-11-04
"Cyprus","MassGather50",2020-03-10,2020-07-11
"Cyprus","MassGather50Partial",2020-11-05,2021-05-16
"Cyprus","MassGatherAll",2020-03-10,2020-11-04
"Cyprus","MassGatherAllPartial",2020-11-05,2021-05-16
"Cyprus","NonEssentialShops",2020-03-16,2020-05-03
"Cyprus","NonEssentialShops",2021-04-26,2021-05-09
"Cyprus","NonEssentialShopsPartial",2020-05-04,2020-06-09
"Cyprus","NonEssentialShopsPartial",2020-12-11,2021-02-07
"Cyprus","NonEssentialShopsPartial",2021-05-10,NA
"Cyprus","OutdoorOver100",2020-07-12,2020-11-04
"Cyprus","OutdoorOver50",2020-06-25,2020-07-11
"Cyprus","PlaceOfWorship",2020-03-16,2020-05-03
"Cyprus","PlaceOfWorshipPartial",2020-05-04,2020-06-01
"Cyprus","PlaceOfWorshipPartial",2021-02-08,NA
"Cyprus","PrivateGatheringRestrictions",2020-03-31,2020-05-03
"Cyprus","PrivateGatheringRestrictions",2020-11-05,2021-02-07
"Cyprus","PrivateGatheringRestrictions",2021-04-26,2021-05-28
"Cyprus","PrivateGatheringRestrictionsPartial",2021-02-08,2021-04-25
"Cyprus","PrivateGatheringRestrictionsPartial",2021-05-29,NA
"Cyprus","QuarantineForInternationalTravellers",2020-06-30,2021-05-09
"Cyprus","QuarantineForInternationalTravellersPartial",2021-05-10,NA
"Cyprus","RestaurantsCafes",2020-03-16,2020-05-20
"Cyprus","RestaurantsCafes",2020-12-11,2021-03-14
"Cyprus","RestaurantsCafes",2021-04-26,2021-05-09
"Cyprus","RestaurantsCafesPartial",2020-05-21,2020-06-09
"Cyprus","RestaurantsCafesPartial",2020-11-05,2020-12-10
"Cyprus","RestaurantsCafesPartial",2021-03-15,2021-04-25
"Cyprus","RestaurantsCafesPartial",2021-05-10,NA
"Cyprus","StayHomeOrder",2020-03-24,2020-05-03
"Cyprus","StayHomeOrder",2021-01-10,2021-05-09
"Cyprus","StayHomeOrderPartial",2020-05-04,2020-05-21
"Cyprus","StayHomeOrderPartial",2020-10-23,2021-01-09
"Cyprus","StayHomeOrderPartial",2021-05-10,2021-06-09
"Cyprus","TeleworkingPartial",2021-01-08,NA
"Cyprus","WorkplaceClosures",2020-03-16,2020-04-14
"Cyprus","WorkplaceClosuresPartial",2020-04-15,2020-06-29
"Czechia","AdaptationOfWorkplace",2020-03-24,2020-05-11
"Czechia","AdaptationOfWorkplace",2020-12-27,NA
"Czechia","BanOnAllEvents",2020-10-22,2020-12-03
"Czechia","BanOnAllEvents",2020-12-18,2021-05-16
"Czechia","ClosDaycare",2020-03-11,2020-05-11
"Czechia","ClosDaycare",2021-03-01,2021-04-11
"Czechia","ClosHigh",2020-03-11,2020-05-10
"Czechia","ClosHigh",2020-10-14,2021-05-23
"Czechia","ClosHighPartial",2020-05-11,2020-08-31
"Czechia","ClosPrim",2020-03-11,2020-05-10
"Czechia","ClosPrim",2020-10-14,2020-11-17
"Czechia","ClosPrim",2020-12-21,2021-04-11
"Czechia","ClosPrimPartial",2020-05-11,2020-08-31
"Czechia","ClosPrimPartial",2020-11-18,2020-11-29
"Czechia","ClosPrimPartial",2021-04-12,2021-05-16
"Czechia","ClosPubAny",2020-03-16,2020-04-23
"Czechia","ClosPubAny",2020-10-14,2020-11-17
"Czechia","ClosPubAnyPartial",2020-03-10,2020-03-15
"Czechia","ClosPubAnyPartial",2020-04-24,2020-10-13
"Czechia","ClosPubAnyPartial",2020-11-18,NA
"Czechia","ClosSec",2020-03-11,2020-06-07
"Czechia","ClosSec",2020-10-14,2020-12-06
"Czechia","ClosSec",2020-12-21,2021-05-23
"Czechia","ClosSecPartial",2020-06-08,2020-08-31
"Czechia","ClosSecPartial",2020-12-07,2020-12-20
"Czechia","ClosSecPartial",2021-05-24,2021-08-31
"Czechia","EntertainmentVenues",2020-03-16,2020-05-10
"Czechia","EntertainmentVenues",2020-10-14,2020-12-02
"Czechia","EntertainmentVenues",2020-12-18,2021-04-11
"Czechia","EntertainmentVenuesPartial",2020-03-13,2020-03-15
"Czechia","EntertainmentVenuesPartial",2020-05-11,2020-08-31
"Czechia","EntertainmentVenuesPartial",2020-10-05,2020-10-13
"Czechia","EntertainmentVenuesPartial",2020-12-03,2020-12-17
"Czechia","EntertainmentVenuesPartial",2021-04-12,NA
"Czechia","GymsSportsCentres",2020-03-13,2020-04-26
"Czechia","GymsSportsCentres",2020-10-14,2020-12-02
"Czechia","GymsSportsCentres",2020-12-18,2021-05-16
"Czechia","GymsSportsCentresPartial",2020-04-27,2020-10-13
"Czechia","GymsSportsCentresPartial",2020-12-03,2020-12-17
"Czechia","GymsSportsCentresPartial",2021-05-17,2021-09-30
"Czechia","HotelsOtherAccommodation",2020-03-16,2020-05-25
"Czechia","HotelsOtherAccommodation",2020-10-22,2020-12-03
"Czechia","HotelsOtherAccommodation",2020-12-18,2021-05-23
"Czechia","HotelsOtherAccommodationPartial",2021-05-24,2021-06-08
"Czechia","IndoorOver100",2020-03-04,2020-03-12
"Czechia","IndoorOver100",2020-05-11,2020-05-25
"Czechia","IndoorOver1000",2020-06-22,2020-08-31
"Czechia","IndoorOver1000",2021-06-26,NA
"Czechia","IndoorOver50",2021-05-24,2021-06-07
"Czechia","IndoorOver500",2020-05-26,2020-06-21
"Czechia","IndoorOver500",2020-09-01,2020-10-05
"Czechia","IndoorOver500",2021-06-08,2021-06-25
"Czechia","MasksMandatoryAllSpaces",2020-03-19,2020-07-24
"Czechia","MasksMandatoryAllSpaces",2020-09-01,NA
"Czechia","MasksMandatoryAllSpacesPartial",2020-07-25,2020-08-31
"Czechia","MassGather50",2020-10-22,2021-06-07
"Czechia","MassGatherAll",2020-03-04,2020-03-12
"Czechia","MassGatherAll",2020-05-11,2020-10-05
"Czechia","MassGatherAll",2020-10-22,NA
"Czechia","NonEssentialShops",2020-03-14,2020-05-11
"Czechia","NonEssentialShops",2020-10-22,2020-12-02
"Czechia","NonEssentialShops",2020-12-27,2021-05-10
"Czechia","NonEssentialShopsPartial",2020-12-03,2020-12-26
"Czechia","OutdoorOver100",2020-05-11,2020-05-25
"Czechia","OutdoorOver100",2021-05-24,2021-06-07
"Czechia","OutdoorOver1000",2020-06-22,2020-10-05
"Czechia","OutdoorOver1000",2021-06-26,NA
"Czechia","OutdoorOver50",2020-12-04,2020-12-17
"Czechia","OutdoorOver50",2021-05-17,2021-05-23
"Czechia","OutdoorOver500",2020-05-26,2020-06-21
"Czechia","OutdoorOver500",2021-06-08,2021-06-25
"Czechia","PlaceOfWorship",2020-03-16,2020-04-23
"Czechia","PlaceOfWorship",2020-10-14,2020-11-17
"Czechia","PlaceOfWorshipPartial",2020-03-10,2020-03-15
"Czechia","PlaceOfWorshipPartial",2020-04-24,2020-10-13
"Czechia","PlaceOfWorshipPartial",2020-11-18,NA
"Czechia","PrivateGatheringRestrictions",2020-03-12,2020-05-11
"Czechia","PrivateGatheringRestrictions",2020-10-05,2020-12-02
"Czechia","PrivateGatheringRestrictions",2020-12-27,2021-05-09
"Czechia","PrivateGatheringRestrictionsPartial",2020-12-03,2020-12-26
"Czechia","PrivateGatheringRestrictionsPartial",2021-05-10,NA
"Czechia","QuarantineForInternationalTravellers",2020-03-13,2020-06-30
"Czechia","QuarantineForInternationalTravellers",2021-07-01,NA
"Czechia","RestaurantsCafes",2020-03-14,2020-05-10
"Czechia","RestaurantsCafes",2020-10-14,2020-12-02
"Czechia","RestaurantsCafes",2020-12-18,2021-05-16
"Czechia","RestaurantsCafesPartial",2020-05-11,2020-06-08
"Czechia","RestaurantsCafesPartial",2020-12-03,2020-12-17
"Czechia","RestaurantsCafesPartial",2021-05-17,NA
"Czechia","StayHomeOrder",2020-03-16,2020-04-24
"Czechia","StayHomeOrder",2020-10-22,2020-11-03
"Czechia","StayHomeOrderPartial",2020-11-04,2020-12-03
"Czechia","StayHomeOrderPartial",2020-12-18,2021-04-11
"Czechia","Teleworking",2020-10-22,NA
"Denmark","AdaptationOfWorkplace",2020-05-08,2020-05-19
"Denmark","AdaptationOfWorkplacePartial",2020-05-20,NA
"Denmark","BanOnAllEvents",2020-10-26,2021-04-05
"Denmark","ClosDaycare",2020-03-16,2020-04-15
"Denmark","ClosHigh",2020-03-16,2020-07-31
"Denmark","ClosHigh",2020-12-16,2021-02-28
"Denmark","ClosHighPartial",2021-04-06,2021-06-13
"Denmark","ClosPrim",2020-03-16,2020-04-15
"Denmark","ClosPrim",2020-12-21,2021-01-03
"Denmark","ClosPrim",2021-01-05,2021-02-07
"Denmark","ClosPubAny",2020-04-28,2020-05-17
"Denmark","ClosPubAny",2020-12-16,2021-04-12
"Denmark","ClosPubAny",2021-12-17,2021-12-18
"Denmark","ClosPubAnyPartial",2020-03-11,2020-04-27
"Denmark","ClosPubAnyPartial",2020-05-18,2020-12-15
"Denmark","ClosPubAnyPartial",2021-04-13,2021-09-09
"Denmark","ClosPubAnyPartial",2021-12-10,2021-12-16
"Denmark","ClosPubAnyPartial",2021-12-19,NA
"Denmark","ClosSec",2020-03-16,2020-05-18
"Denmark","ClosSec",2020-12-16,2021-02-28
"Denmark","ClosSec",2021-12-17,NA
"Denmark","ClosSecPartial",2021-04-06,2021-05-20
"Denmark","EntertainmentVenues",2020-03-18,2020-06-08
"Denmark","EntertainmentVenues",2020-12-16,2021-05-20
"Denmark","EntertainmentVenues",2021-12-17,NA
"Denmark","EntertainmentVenuesPartial",2021-05-21,2021-09-09
"Denmark","EntertainmentVenuesPartial",2021-12-10,2021-12-16
"Denmark","GymsSportsCentres",2020-03-18,2020-06-08
"Denmark","GymsSportsCentres",2020-12-16,2021-04-20
"Denmark","GymsSportsCentresPartial",2021-04-21,2021-08-31
"Denmark","IndoorOver100",2021-06-11,2021-06-30
"Denmark","IndoorOver50",2020-03-18,2020-06-14
"Denmark","IndoorOver50",2021-05-21,2021-06-10
"Denmark","IndoorOver500",2020-06-15,2020-10-25
"Denmark","IndoorOver500",2021-07-01,2021-07-31
"Denmark","MasksMandatoryAllSpacesPartial",2021-11-29,NA
"Denmark","MasksMandatoryClosedSpaces",2020-10-29,2021-06-10
"Denmark","MasksVoluntaryAllSpacesPartial",2020-07-09,2021-11-28
"Denmark","MassGather50",2020-03-18,2020-06-14
"Denmark","MassGather50",2020-10-26,2021-04-05
"Denmark","MassGather50",2021-05-06,2021-06-10
"Denmark","MassGatherAll",2020-03-18,2020-06-14
"Denmark","MassGatherAll",2021-06-11,2021-07-31
"Denmark","MassGatherAllPartial",2020-06-15,2021-06-10
"Denmark","NonEssentialShops",2020-04-28,2020-05-10
"Denmark","NonEssentialShops",2020-12-16,2021-02-28
"Denmark","NonEssentialShops",2021-04-06,2021-04-12
"Denmark","NonEssentialShopsPartial",2020-03-11,2020-04-27
"Denmark","NonEssentialShopsPartial",2021-04-13,2021-04-20
"Denmark","NonEssentialShopsPartial",2021-12-19,NA
"Denmark","OutdoorOver100",2020-09-05,2020-10-25
